"日期","收市","開市","高","低","升跌（%）"
"2019-12-9","0.580","0.570","0.580","0.570","1.75%"
"2019-12-6","0.570","0.575","0.575","0.570","-0.87%"
"2019-12-5","0.575","0.575","0.575","0.575","0.00%"
"2019-12-4","0.575","0.585","0.585","0.575","-1.71%"
"2019-12-3","0.585","0.580","0.585","0.580","0.86%"
"2019-12-2","0.580","0.575","0.580","0.575","0.87%"
"2019-11-29","0.575","0.580","0.580","0.575","-0.86%"
"2019-11-28","0.580","0.580","0.580","0.580","0.00%"
"2019-11-27","0.580","0.585","0.585","0.580","-0.85%"
"2019-11-26","0.585","0.585","0.585","0.585","0.00%"
"2019-11-25","0.585","0.585","0.585","0.585","0.00%"
"2019-11-22","0.585","0.580","0.585","0.580","0.86%"
"2019-11-21","0.580","0.575","0.580","0.575","0.87%"
"2019-11-20","0.575","0.590","0.590","0.575","-2.54%"
"2019-11-19","0.590","0.595","0.595","0.590","-0.84%"
"2019-11-18","0.595","0.585","0.595","0.585","1.71%"
"2019-11-15","0.585","0.590","0.590","0.585","-0.85%"
"2019-11-14","0.590","0.590","0.590","0.590","0.00%"
"2019-11-13","0.590","0.595","0.595","0.590","-0.84%"
"2019-11-12","0.595","0.600","0.600","0.595","-0.83%"
"2019-11-11","0.600","0.605","0.605","0.600","-0.83%"
"2019-11-8","0.605","0.605","0.605","0.605","2.54%"
"2019-10-31","0.590","0.590","0.590","0.590","0.00%"
"2019-10-30","0.590","0.590","0.590","0.590","0.00%"
"2019-10-29","0.590","0.590","0.590","0.590","0.00%"
"2019-10-28","0.590","0.590","0.590","0.590","0.00%"
"2019-10-25","0.590","0.590","0.590","0.590","0.00%"
"2019-10-24","0.590","0.590","0.590","0.590","0.00%"
"2019-10-23","0.590","0.590","0.590","0.590","3.51%"
"2019-10-22","0.570","0.590","0.590","0.570","0.00%"
"2019-10-21","0.570","0.570","0.570","0.570","0.00%"
"2019-10-18","0.570","0.570","0.570","0.570","0.00%"
"2019-10-17","0.570","0.570","0.570","0.570","-1.72%"
"2019-10-16","0.580","0.590","0.590","0.580","-1.69%"
"2019-10-15","0.590","0.605","0.605","0.590","-2.48%"
"2019-10-14","0.605","0.605","0.605","0.605","0.83%"
"2019-10-9","0.600","0.600","0.600","0.600","0.00%"
"2019-10-8","0.600","0.600","0.600","0.600","0.00%"
"2019-10-7","0.600","0.600","0.600","0.600","-1.64%"
"2019-10-4","0.610","0.610","0.610","0.610","-1.61%"
"2019-10-3","0.620","0.620","0.620","0.620","0.00%"
"2019-10-2","0.620","0.620","0.620","0.620","-1.59%"
"2019-10-1","0.630","0.630","0.630","0.630","0.00%"
"2019-9-27","0.630","0.630","0.630","0.630","1.61%"
"2019-9-26","0.620","0.620","0.620","0.620","0.00%"
"2019-9-25","0.620","0.620","0.620","0.620","-3.12%"
"2019-9-24","0.640","0.640","0.640","0.640","0.00%"
"2019-9-23","0.640","0.640","0.640","0.640","-3.03%"
"2019-9-20","0.660","0.660","0.660","0.660","0.00%"
"2019-9-19","0.660","0.660","0.660","0.660","3.13%"
"2019-9-18","0.640","0.640","0.640","0.640","0.00%"
"2019-9-17","0.640","0.640","0.640","0.640","3.23%"
"2019-9-16","0.620","0.620","0.620","0.620","3.33%"
"2019-9-12","0.600","0.600","0.600","0.600","3.45%"
"2019-9-11","0.580","0.600","0.600","0.580","0.00%"
"2019-9-10","0.580","0.580","0.580","0.580","0.00%"
"2019-9-9","0.580","0.580","0.580","0.580","-3.33%"
"2019-9-6","0.600","0.600","0.600","0.600","3.45%"
"2019-9-5","0.580","0.580","0.580","0.580","0.00%"
"2019-9-4","0.580","0.580","0.580","0.580","0.00%"
"2019-9-3","0.580","0.580","0.580","0.580","0.00%"
"2019-9-2","0.580","0.580","0.580","0.580","0.00%"
"2019-8-30","0.580","0.580","0.580","0.580","0.00%"
"2019-8-29","0.580","0.580","0.580","0.580","0.00%"
"2019-8-28","0.580","0.580","0.580","0.580","0.00%"
"2019-8-27","0.580","0.580","0.580","0.580","5.45%"
"2019-8-26","0.550","0.550","0.550","0.550","-5.17%"
"2019-8-23","0.580","0.580","0.580","0.580","5.45%"
