"日期","收市","開市","高","低","升跌（%）"
"2024-4-12","1.595","1.595","1.595","1.595","0.00%"
"2024-4-11","1.595","1.545","1.595","1.545","3.24%"
"2024-4-10","1.545","1.535","1.545","1.535","0.65%"
"2024-4-9","1.535","1.545","1.545","1.535","-0.65%"
"2024-4-8","1.545","1.545","1.545","1.545","1.98%"
"2024-4-5","1.515","1.515","1.515","1.515","0.00%"
"2024-4-4","1.515","1.515","1.515","1.515","0.00%"
"2024-4-3","1.515","1.505","1.515","1.505","0.66%"
"2024-4-2","1.505","1.485","1.505","1.485","1.35%"
"2024-4-1","1.485","1.485","1.485","1.485","0.00%"
"2024-3-29","1.485","1.495","1.495","1.485","-0.67%"
"2024-3-28","1.495","1.495","1.495","1.495","0.00%"
"2024-3-27","1.495","1.495","1.495","1.495","0.00%"
"2024-3-26","1.495","1.495","1.495","1.495","0.00%"
"2024-3-25","1.495","1.505","1.505","1.495","2.75%"
"2024-3-22","1.455","1.455","1.455","1.455","6.20%"
"2024-3-21","1.370","1.385","1.385","1.370","-1.08%"
"2024-3-20","1.385","1.375","1.385","1.375","0.73%"
"2024-3-19","1.375","1.375","1.375","1.375","-2.69%"
"2024-3-18","1.413","1.413","1.413","1.413","4.28%"
"2024-3-15","1.355","1.335","1.355","1.335","1.50%"
"2024-3-14","1.335","1.335","1.335","1.335","-0.74%"
"2024-3-13","1.345","1.345","1.345","1.345","1.51%"
"2024-3-12","1.325","1.305","1.325","1.305","1.53%"
"2024-3-11","1.305","1.305","1.305","1.305","0.38%"
"2024-3-8","1.300","1.295","1.300","1.295","0.39%"
"2024-3-7","1.295","1.295","1.295","1.295","0.00%"
"2024-3-6","1.295","1.300","1.300","1.295","-0.38%"
"2024-3-5","1.300","1.315","1.315","1.300","-1.14%"
"2024-3-4","1.315","1.315","1.315","1.315","-0.75%"
"2024-3-1","1.325","1.350","1.350","1.325","-1.85%"
"2024-2-29","1.350","1.335","1.350","1.335","1.12%"
"2024-2-28","1.335","1.335","1.335","1.335","0.00%"
"2024-2-27","1.335","1.335","1.335","1.335","0.00%"
"2024-2-26","1.335","1.335","1.335","1.335","-1.84%"
"2024-2-23","1.360","1.330","1.360","1.330","2.26%"
"2024-2-22","1.330","1.330","1.330","1.330","-0.23%"
"2024-2-21","1.333","1.333","1.333","1.333","-0.15%"
"2024-2-20","1.335","1.335","1.335","1.335","0.00%"
"2024-2-19","1.335","1.335","1.335","1.335","0.00%"
"2024-2-16","1.335","1.340","1.340","1.335","-0.37%"
"2024-2-15","1.340","1.340","1.340","1.340","0.75%"
"2024-2-14","1.330","1.330","1.330","1.330","0.00%"
"2024-2-13","1.330","1.330","1.330","1.330","0.00%"
"2024-2-12","1.330","1.330","1.330","1.330","0.00%"
"2024-2-9","1.330","1.330","1.330","1.330","0.00%"
"2024-2-8","1.330","1.330","1.330","1.330","0.00%"
"2024-2-7","1.330","1.330","1.330","1.330","0.00%"
"2024-2-6","1.330","1.330","1.330","1.330","0.00%"
"2024-2-5","1.330","1.330","1.330","1.330","1.14%"
"2024-2-2","1.315","1.315","1.315","1.315","0.77%"
"2024-2-1","1.305","1.305","1.305","1.305","-0.84%"
"2024-1-31","1.316","1.316","1.316","1.316","-0.83%"
"2024-1-30","1.327","1.335","1.335","1.327","-0.60%"
"2024-1-29","1.335","1.335","1.335","1.335","0.00%"
"2024-1-26","1.335","1.335","1.335","1.335","-1.18%"
"2024-1-25","1.351","1.351","1.351","1.351","-0.18%"
"2024-1-24","1.354","1.354","1.354","1.354","-0.84%"
"2024-1-23","1.365","1.368","1.368","1.365","-0.22%"
"2024-1-22","1.368","1.368","1.368","1.368","0.00%"
"2024-1-19","1.368","1.363","1.368","1.363","0.37%"
"2024-1-18","1.363","1.362","1.363","1.362","0.07%"
"2024-1-17","1.362","1.362","1.362","1.362","0.52%"
"2024-1-16","1.355","1.365","1.365","1.355","-0.73%"
"2024-1-15","1.365","1.375","1.375","1.365","-0.73%"
"2024-1-12","1.375","1.385","1.385","1.375","-0.72%"
"2024-1-11","1.385","1.395","1.395","1.385","-0.72%"
"2024-1-10","1.395","1.385","1.395","1.385","0.72%"
"2024-1-9","1.385","1.380","1.385","1.380","0.36%"
"2024-1-8","1.380","1.385","1.385","1.380","-0.36%"
"2024-1-5","1.385","1.365","1.385","1.365","1.47%"
"2024-1-4","1.365","1.365","1.365","1.365","0.00%"
"2024-1-3","1.365","1.365","1.365","1.365","0.00%"
"2024-1-2","1.365","1.365","1.365","1.365","0.00%"
"2024-1-1","1.365","1.365","1.365","1.365","0.00%"
"2023-12-29","1.365","1.365","1.365","1.365","0.00%"
"2023-12-28","1.365","1.365","1.365","1.365","0.00%"
"2023-12-27","1.365","1.350","1.365","1.350","1.11%"
"2023-12-26","1.350","1.350","1.350","1.350","0.00%"
"2023-12-25","1.350","1.350","1.350","1.350","0.00%"
"2023-12-22","1.350","1.345","1.350","1.345","0.37%"
"2023-12-21","1.345","1.370","1.370","1.345","-1.82%"
"2023-12-20","1.370","1.370","1.370","1.370","0.00%"
"2023-12-19","1.370","1.375","1.375","1.370","-0.36%"
"2023-12-18","1.375","1.380","1.380","1.375","-0.36%"
"2023-12-15","1.380","1.380","1.380","1.380","0.00%"
"2023-12-14","1.380","1.380","1.380","1.380","-2.47%"
"2023-12-13","1.415","1.425","1.425","1.415","-0.70%"
"2023-12-12","1.425","1.445","1.445","1.425","-1.38%"
"2023-12-11","1.445","1.445","1.445","1.445","0.00%"
"2023-12-8","1.445","1.445","1.445","1.445","0.00%"
"2023-12-7","1.445","1.445","1.445","1.445","0.00%"
"2023-12-6","1.445","1.445","1.445","1.445","0.00%"
"2023-12-5","1.445","1.425","1.445","1.425","1.40%"
"2023-12-4","1.425","1.425","1.425","1.425","-2.06%"
"2023-12-1","1.455","1.455","1.455","1.455","0.00%"
"2023-11-30","1.455","1.455","1.455","1.455","-3.32%"
"2023-11-29","1.505","1.545","1.545","1.505","-2.59%"
"2023-11-28","1.545","1.545","1.545","1.545","0.00%"
"2023-11-27","1.545","1.545","1.545","1.545","-0.64%"
"2023-11-24","1.555","1.545","1.555","1.545","0.65%"
"2023-11-23","1.545","1.545","1.545","1.545","0.00%"
"2023-11-22","1.545","1.565","1.565","1.545","-1.28%"
"2023-11-21","1.565","1.585","1.585","1.565","-1.26%"
"2023-11-20","1.585","1.455","1.585","1.455","8.93%"
"2023-11-17","1.455","1.455","1.455","1.455","0.00%"
"2023-11-16","1.455","1.455","1.455","1.455","0.69%"
"2023-11-15","1.445","1.465","1.465","1.445","-1.37%"
"2023-11-14","1.465","1.455","1.465","1.455","0.69%"
"2023-11-13","1.455","1.455","1.455","1.455","0.00%"
"2023-11-10","1.455","1.450","1.455","1.450","0.34%"
"2023-11-9","1.450","1.450","1.450","1.450","0.00%"
"2023-11-8","1.450","1.450","1.450","1.450","0.35%"
"2023-11-7","1.445","1.445","1.445","1.445","0.00%"
"2023-11-6","1.445","1.445","1.445","1.445","0.00%"
"2023-11-3","1.445","1.445","1.445","1.445","0.00%"
"2023-11-2","1.445","1.465","1.465","1.445","-1.37%"
"2023-11-1","1.465","1.455","1.465","1.455","0.69%"
"2023-10-31","1.455","1.445","1.455","1.445","0.69%"
"2023-10-30","1.445","1.445","1.445","1.445","-0.69%"
"2023-10-27","1.455","1.445","1.455","1.445","0.69%"
"2023-10-26","1.445","1.445","1.445","1.445","1.05%"
"2023-10-25","1.430","1.430","1.430","1.430","0.00%"
"2023-10-24","1.430","1.440","1.440","1.430","-0.69%"
"2023-10-23","1.440","1.440","1.440","1.440","0.00%"
"2023-10-20","1.440","1.445","1.445","1.440","-0.35%"
"2023-10-19","1.445","1.435","1.445","1.435","0.70%"
"2023-10-18","1.435","1.445","1.445","1.435","-0.69%"
"2023-10-17","1.445","1.445","1.445","1.445","0.00%"
"2023-10-16","1.445","1.445","1.445","1.445","0.70%"
"2023-10-13","1.435","1.435","1.435","1.435","0.70%"
"2023-10-12","1.425","1.415","1.425","1.415","0.71%"
"2023-10-11","1.415","1.415","1.415","1.415","0.71%"
"2023-10-10","1.405","1.405","1.405","1.405","0.00%"
"2023-10-9","1.405","1.415","1.415","1.405","-0.71%"
"2023-10-6","1.415","1.395","1.415","1.395","1.43%"
"2023-10-5","1.395","1.395","1.395","1.395","0.00%"
"2023-10-4","1.395","1.395","1.395","1.395","0.00%"
"2023-10-3","1.395","1.395","1.395","1.395","0.00%"
"2023-10-2","1.395","1.395","1.395","1.395","0.00%"
"2023-9-29","1.395","1.395","1.395","1.395","0.00%"
"2023-9-28","1.395","1.385","1.395","1.385","0.72%"
"2023-9-27","1.385","1.385","1.385","1.385","-1.42%"
"2023-9-26","1.405","1.405","1.405","1.405","0.00%"
"2023-9-25","1.405","1.405","1.405","1.405","0.00%"
"2023-9-22","1.405","1.375","1.405","1.375","2.18%"
"2023-9-21","1.375","1.375","1.375","1.375","0.00%"
"2023-9-20","1.375","1.375","1.375","1.375","0.00%"
"2023-9-19","1.375","1.415","1.415","1.375","-2.83%"
"2023-9-18","1.415","1.405","1.415","1.405","0.71%"
"2023-9-15","1.405","1.405","1.405","1.405","0.00%"
"2023-9-14","1.405","1.395","1.405","1.395","0.72%"
"2023-9-13","1.395","1.395","1.395","1.395","0.00%"
"2023-9-12","1.395","1.405","1.405","1.395","-0.71%"
"2023-9-11","1.405","1.395","1.405","1.395","0.72%"
"2023-9-8","1.395","1.405","1.405","1.395","-0.71%"
"2023-9-7","1.405","1.385","1.405","1.385","1.44%"
"2023-9-6","1.385","1.375","1.385","1.375","0.73%"
"2023-9-5","1.375","1.375","1.375","1.375","0.00%"
"2023-9-4","1.375","1.370","1.375","1.370","0.36%"
"2023-9-1","1.370","1.370","1.370","1.370","0.00%"
"2023-8-31","1.370","1.405","1.405","1.370","-2.49%"
"2023-8-30","1.405","1.395","1.405","1.395","0.72%"
"2023-8-29","1.395","1.385","1.395","1.385","0.72%"
"2023-8-28","1.385","1.385","1.385","1.385","0.73%"
"2023-8-25","1.375","1.395","1.395","1.375","-1.43%"
"2023-8-24","1.395","1.395","1.395","1.395","0.00%"
"2023-8-23","1.395","1.395","1.395","1.395","0.00%"
"2023-8-22","1.395","1.375","1.395","1.375","1.45%"
"2023-8-21","1.375","1.365","1.375","1.365","0.73%"
"2023-8-18","1.365","1.365","1.365","1.365","0.00%"
"2023-8-17","1.365","1.365","1.365","1.365","0.00%"
"2023-8-16","1.365","1.375","1.375","1.365","-0.73%"
"2023-8-15","1.375","1.355","1.375","1.355","1.48%"
"2023-8-14","1.355","1.355","1.355","1.355","0.00%"
"2023-8-11","1.355","1.355","1.355","1.355","0.74%"
"2023-8-10","1.345","1.345","1.345","1.345","0.00%"
"2023-8-9","1.345","1.345","1.345","1.345","0.00%"
"2023-8-8","1.345","1.345","1.345","1.345","0.00%"
"2023-8-7","1.345","1.365","1.365","1.345","-1.47%"
"2023-8-4","1.365","1.350","1.365","1.350","1.11%"
"2023-8-3","1.350","1.350","1.350","1.350","0.00%"
"2023-8-2","1.350","1.350","1.350","1.350","0.00%"
"2023-8-1","1.350","1.345","1.350","1.345","0.37%"
"2023-7-31","1.345","1.350","1.350","1.345","-0.37%"
"2023-7-28","1.350","1.345","1.350","1.345","0.37%"
"2023-7-27","1.345","1.345","1.345","1.345","0.00%"
"2023-7-26","1.345","1.345","1.345","1.345","0.00%"
"2023-7-25","1.345","1.335","1.345","1.335","0.75%"
"2023-7-24","1.335","1.335","1.335","1.335","-1.48%"
"2023-7-21","1.355","1.355","1.355","1.355","0.00%"
"2023-7-20","1.355","1.355","1.355","1.355","-0.73%"
"2023-7-19","1.365","1.365","1.365","1.365","0.00%"
"2023-7-18","1.365","1.365","1.365","1.365","0.00%"
"2023-7-17","1.365","1.365","1.365","1.365","0.00%"
"2023-7-14","1.365","1.365","1.365","1.365","0.00%"
"2023-7-13","1.365","1.365","1.365","1.365","0.00%"
"2023-7-12","1.365","1.365","1.365","1.365","0.00%"
"2023-7-11","1.365","1.365","1.365","1.365","0.00%"
"2023-7-10","1.365","1.365","1.365","1.365","0.00%"
"2023-7-7","1.365","1.365","1.365","1.365","0.00%"
"2023-7-6","1.365","1.365","1.365","1.365","0.00%"
"2023-7-5","1.365","1.370","1.370","1.365","-0.36%"
"2023-7-4","1.370","1.370","1.370","1.370","0.00%"
"2023-7-3","1.370","1.360","1.370","1.360","0.74%"
"2023-6-30","1.360","1.350","1.360","1.350","0.74%"
"2023-6-29","1.350","1.350","1.350","1.350","0.00%"
"2023-6-28","1.350","1.350","1.350","1.350","0.00%"
"2023-6-27","1.350","1.350","1.350","1.350","0.00%"
"2023-6-26","1.350","1.350","1.350","1.350","0.00%"
"2023-6-23","1.350","1.350","1.350","1.350","0.00%"
"2023-6-22","1.350","1.350","1.350","1.350","0.00%"
"2023-6-21","1.350","1.370","1.370","1.350","-1.46%"
"2023-6-20","1.370","1.370","1.370","1.370","0.00%"
"2023-6-19","1.370","1.375","1.375","1.370","-0.36%"
"2023-6-16","1.375","1.375","1.375","1.375","-1.43%"
"2023-6-15","1.395","1.405","1.405","1.395","-0.71%"
"2023-6-14","1.405","1.365","1.405","1.365","2.93%"
"2023-6-13","1.365","1.365","1.365","1.365","0.00%"
"2023-6-12","1.365","1.365","1.365","1.365","0.00%"
"2023-6-9","1.365","1.365","1.365","1.365","0.00%"
"2023-6-8","1.365","1.365","1.365","1.365","0.00%"
"2023-6-7","1.365","1.365","1.365","1.365","0.00%"
"2023-6-6","1.365","1.375","1.375","1.365","-0.73%"
"2023-6-5","1.375","1.375","1.375","1.375","0.00%"
"2023-6-2","1.375","1.375","1.375","1.375","0.00%"
"2023-6-1","1.375","1.385","1.385","1.375","-0.72%"
"2023-5-31","1.385","1.375","1.385","1.375","0.73%"
"2023-5-30","1.375","1.375","1.375","1.375","0.00%"
"2023-5-29","1.375","1.375","1.375","1.375","0.36%"
"2023-5-26","1.370","1.370","1.370","1.370","-1.79%"
"2023-5-25","1.395","1.395","1.395","1.395","0.00%"
"2023-5-24","1.395","1.395","1.395","1.395","0.00%"
"2023-5-23","1.395","1.395","1.395","1.395","0.00%"
"2023-5-22","1.395","1.395","1.395","1.395","0.07%"
"2023-5-19","1.394","1.375","1.394","1.375","1.38%"
"2023-5-18","1.375","1.350","1.375","1.350","1.85%"
"2023-5-17","1.350","1.395","1.395","1.350","-3.23%"
"2023-5-16","1.395","1.395","1.395","1.395","1.64%"
"2023-5-15","1.372","1.372","1.372","1.372","2.04%"
"2023-5-12","1.345","1.324","1.345","1.324","1.59%"
"2023-5-11","1.324","1.375","1.375","1.324","-3.71%"
"2023-5-10","1.375","1.345","1.375","1.345","2.23%"
"2023-5-9","1.345","1.345","1.345","1.345","0.00%"
"2023-5-8","1.345","1.345","1.345","1.345","0.75%"
"2023-5-5","1.335","1.345","1.345","1.335","-0.74%"
"2023-5-4","1.345","1.385","1.385","1.345","-2.89%"
"2023-5-3","1.385","1.373","1.385","1.373","0.87%"
"2023-5-2","1.373","1.385","1.385","1.373","-0.87%"
"2023-5-1","1.385","1.385","1.385","1.385","0.00%"
"2023-4-28","1.385","1.385","1.385","1.385","0.00%"
"2023-4-27","1.385","1.355","1.385","1.355","2.21%"
"2023-4-26","1.355","1.385","1.385","1.355","-2.17%"
"2023-4-25","1.385","1.405","1.405","1.385","-1.42%"
"2023-4-24","1.405","1.405","1.405","1.405","2.55%"
"2023-4-21","1.370","1.377","1.377","1.370","-0.51%"
"2023-4-20","1.377","1.377","1.377","1.377","-1.99%"
"2023-4-19","1.405","1.425","1.425","1.405","-1.40%"
"2023-4-18","1.425","1.432","1.432","1.425","-0.49%"
"2023-4-17","1.432","1.432","1.432","1.432","1.56%"
"2023-4-14","1.410","1.410","1.410","1.410","0.00%"
"2023-4-13","1.410","1.435","1.435","1.410","-1.74%"
"2023-4-12","1.435","1.365","1.435","1.365","5.13%"
"2023-4-11","1.365","1.365","1.365","1.365","0.00%"
"2023-4-10","1.365","1.365","1.365","1.365","-2.15%"
"2023-4-7","1.395","1.395","1.395","1.395","0.00%"
"2023-4-6","1.395","1.432","1.432","1.395","-2.58%"
"2023-4-5","1.432","1.432","1.432","1.432","0.00%"
"2023-4-4","1.432","1.432","1.432","1.432","0.00%"
"2023-4-3","1.432","1.432","1.432","1.432","0.00%"
"2023-3-31","1.432","1.455","1.455","1.432","-1.58%"
"2023-3-30","1.455","1.415","1.455","1.415","2.83%"
"2023-3-29","1.415","1.455","1.455","1.415","-2.75%"
"2023-3-28","1.455","1.475","1.475","1.455","-1.36%"
"2023-3-27","1.475","1.475","1.475","1.475","4.24%"
"2023-3-24","1.415","1.395","1.415","1.395","1.43%"
"2023-3-23","1.395","1.425","1.425","1.395","-2.11%"
"2023-3-22","1.425","1.415","1.425","1.415","0.71%"
"2023-3-21","1.415","1.400","1.415","1.400","1.07%"
"2023-3-20","1.400","1.395","1.400","1.395","0.36%"
"2023-3-17","1.395","1.425","1.425","1.395","-2.11%"
"2023-3-16","1.425","1.405","1.425","1.405","1.42%"
"2023-3-15","1.405","1.374","1.405","1.374","2.26%"
"2023-3-14","1.374","1.392","1.392","1.374","-1.29%"
"2023-3-13","1.392","1.392","1.392","1.392","-3.67%"
"2023-3-10","1.445","1.475","1.475","1.445","-2.03%"
"2023-3-9","1.475","1.440","1.475","1.440","2.43%"
"2023-3-8","1.440","1.440","1.440","1.440","0.00%"
"2023-3-7","1.440","1.435","1.440","1.435","0.35%"
"2023-3-6","1.435","1.445","1.445","1.435","-0.69%"
"2023-3-3","1.445","1.445","1.445","1.445","0.00%"
"2023-3-2","1.445","1.435","1.445","1.435","0.70%"
